DATE,VALUE
1947-01-01,.
1947-04-01,1.42857
1947-07-01,2.18083
1947-10-01,2.83237
1948-01-01,2.11874
1948-04-01,1.59207
1948-07-01,1.68382
1948-10-01,-0.91815
1949-01-01,-0.95147
1949-04-01,-0.10859
1949-07-01,-0.83623
1949-10-01,-0.24033
1950-01-01,-0.30854
1950-04-01,0.76313
1950-07-01,1.83448
1950-10-01,2.02454
1951-01-01,4.06593
1951-04-01,0.97288
1951-07-01,-0.05396
1951-10-01,1.48074
1952-01-01,0.37998
1952-04-01,0.26498
1952-07-01,0.67958
1952-10-01,0.11250
1953-01-01,-0.28842
1953-04-01,0.37566
1953-07-01,0.46033
1953-10-01,0.17509
1954-01-01,0.23429
1954-04-01,-0.15954
1954-07-01,-0.26013
1954-10-01,-0.30924
1955-01-01,0.13454
1955-04-01,-0.13436
1955-07-01,0.07475
1955-10-01,0.29876
1956-01-01,0.01117
1956-04-01,0.65897
1956-07-01,1.03562
1956-10-01,0.85295
1957-01-01,0.82396
1957-04-01,0.84962
1957-07-01,0.89244
1957-10-01,0.48473
1958-01-01,1.18662
1958-04-01,0.67161
1958-07-01,-0.05876
1958-10-01,0.10376
1959-01-01,0.17275
1959-04-01,0.17246
1959-07-01,0.51648
1959-10-01,0.60631
1960-01-01,0.09193
1960-04-01,0.59870
1960-07-01,0.05748
1960-10-01,0.64211
1961-01-01,0.20148
1961-04-01,-0.03351
1961-07-01,0.39222
1961-10-01,0.14359
1962-01-01,0.39013
1962-04-01,0.37533
1962-07-01,0.28789
1962-10-01,0.24087
1963-01-01,0.31929
1963-04-01,0.18375
1963-07-01,0.61245
1963-10-01,0.27018
1964-01-01,0.41230
1964-04-01,0.16166
1964-07-01,0.22595
1964-10-01,0.46055
1965-01-01,0.31097
1965-04-01,0.63918
1965-07-01,0.29533
1965-10-01,0.52877
1966-01-01,0.93543
1966-04-01,0.90492
1966-07-01,0.86588
1966-10-01,0.81553
1967-01-01,0.25545
1967-04-01,0.60667
1967-07-01,1.00401
1967-10-01,1.09552
1968-01-01,0.98326
1968-04-01,0.97368
1968-07-01,1.35233
1968-10-01,1.23714
1969-01-01,1.22485
1969-04-01,1.57805
1969-07-01,1.37238
1969-10-01,1.53521
1970-01-01,1.60000
1970-04-01,1.39895
1970-07-01,1.03538
1970-10-01,1.45262
1971-01-01,0.84091
1971-04-01,0.91904
1971-07-01,0.99256
1971-10-01,0.73710
1972-01-01,0.81220
1972-04-01,0.64597
1972-07-01,0.80048
1972-10-01,1.03498
1973-01-01,1.57198
1973-04-01,2.09142
1973-07-01,1.97346
1973-10-01,2.52902
1974-01-01,2.97607
1974-04-01,2.67865
1974-07-01,2.81261
1974-10-01,3.07212
1975-01-01,2.13729
1975-04-01,1.20418
1975-07-01,2.00564
1975-10-01,1.84274
1976-01-01,1.14535
1976-04-01,0.89445
1976-07-01,1.59574
1976-10-01,1.45375
1977-01-01,1.83545
1977-04-01,1.74493
1977-07-01,1.38462
1977-10-01,1.47379
1978-01-01,1.72027
1978-04-01,2.27500
1978-07-01,2.32677
1978-10-01,2.32389
1979-01-01,2.51852
1979-04-01,3.17919
1979-07-01,3.22129
1979-10-01,3.16554
1980-01-01,3.94566
1980-04-01,3.37454
1980-07-01,1.87638
1980-10-01,2.80418
1981-01-01,2.76508
1981-04-01,2.08568
1981-07-01,2.78499
1981-10-01,1.62572
1982-01-01,0.88837
1982-04-01,1.44503
1982-07-01,1.73601
1982-10-01,0.30727
1983-01-01,0.06841
1983-04-01,1.15612
1983-07-01,0.97546
1983-10-01,0.99900
1984-01-01,1.41741
1984-04-01,0.94311
1984-07-01,0.86957
1984-10-01,0.86207
1985-01-01,0.91833
1985-04-01,0.90903
1985-07-01,0.62201
1985-10-01,1.01946
1986-01-01,0.52018
1986-04-01,-0.48737
1986-07-01,0.61174
1986-10-01,0.69918
1987-01-01,1.20670
1987-04-01,1.13327
1987-07-01,1.06132
1987-10-01,0.93290
1988-01-01,0.78035
1988-04-01,1.14769
1988-07-01,1.21888
1988-10-01,1.09244
1989-01-01,1.13633
1989-04-01,1.61589
1989-07-01,0.78215
1989-10-01,1.01685
1990-01-01,1.72086
1990-04-01,0.98959
1990-07-01,1.72699
1990-10-01,1.69843
1991-01-01,0.74757
1991-04-01,0.59362
1991-07-01,0.76198
1991-10-01,0.82943
1992-01-01,0.67812
1992-04-01,0.76875
1992-07-01,0.76360
1992-10-01,0.87571
1993-01-01,0.72800
1993-04-01,0.72204
1993-07-01,0.46287
1993-10-01,0.82892
1994-01-01,0.50217
1994-04-01,0.56783
1994-07-01,0.92657
1994-10-01,0.58227
1995-01-01,0.73447
1995-04-01,0.81728
1995-07-01,0.50427
1995-10-01,0.54492
1996-01-01,0.88939
1996-04-01,0.85963
1996-07-01,0.57545
1996-10-01,0.86904
1997-01-01,0.60882
1997-04-01,0.22990
1997-07-01,0.50000
1997-10-01,0.53918
1998-01-01,0.20598
1998-04-01,0.32901
1998-07-01,0.51313
1998-10-01,0.46888
1999-01-01,0.36556
1999-04-01,0.74909
1999-07-01,0.74292
1999-10-01,0.73744
2000-01-01,0.98971
2000-04-01,0.78366
2000-07-01,0.91406
2000-10-01,0.71272
2001-01-01,0.95676
2001-04-01,0.70097
2001-07-01,0.28227
2001-10-01,-0.07487
2002-01-01,0.31944
2002-04-01,0.78622
2002-07-01,0.53826
2002-10-01,0.59136
2003-01-01,1.02865
2003-04-01,-0.16361
2003-07-01,0.74617
2003-10-01,0.37954
2004-01-01,0.84642
2004-04-01,0.78575
2004-07-01,0.63773
2004-10-01,1.07358
2005-01-01,0.50522
2005-04-01,0.67579
2005-07-01,1.51446
2005-10-01,0.93235
2006-01-01,0.52108
2006-04-01,0.90240
2006-07-01,0.94402
2006-10-01,-0.41050
2007-01-01,0.98056
2007-04-01,1.13255
2007-07-01,0.63301
2007-10-01,1.22680
2008-01-01,1.08319
2008-04-01,1.30094
2008-07-01,1.54172
2008-10-01,-2.29004
2009-01-01,-0.68787
2009-04-01,0.53160
2009-07-01,0.86039
2009-10-01,0.78293
2010-01-01,0.14330
2010-04-01,-0.00966
2010-07-01,0.30830
2010-10-01,0.76976
2011-01-01,1.03930
2011-04-01,1.21829
2011-07-01,0.65434
2011-10-01,0.38563
2012-01-01,0.52071
2012-04-01,0.34403
2012-07-01,0.42583
2012-10-01,0.59798
2013-01-01,0.29570
2013-04-01,0.10000
2013-07-01,0.53654
2013-10-01,0.28268
2014-01-01,0.47451
2014-04-01,0.74943
2014-07-01,0.27298
2014-10-01,-0.30127